Postnr.;Bynavn;Gade;Firma;Provins;Land
1533;Kõbenhavn V;Kystvejen 26, 2770 Kastrup;Internationalt Postcenter;False;1
1550;Kõbenhavn V;Bag RÜdhuset;;False;1
1550;Kõbenhavn V;RÜdhuspladsen;;False;1
1551;Kõbenhavn V;Jarmers Plads;;False;1
1552;Kõbenhavn V;Vester Voldgade;;False;1
1553;Kõbenhavn V;H.C. Andersens Boulevard;;False;1
1553;Kõbenhavn V;Langebro;;False;1
1554;Kõbenhavn V;Studiestrëde 57-69 og 50-54;;False;1
1555;Kõbenhavn V;Stormgade 20 og 35;;False;1
1556;Kõbenhavn V;Dantes Plads;;False;1
1557;Kõbenhavn V;Ny Kongensgade 19-21 og 18-20;;False;1
1558;Kõbenhavn V;Christiansborggade;;False;1
1559;Kõbenhavn V;Christians Brygge 24-30;;False;1
1560;Kõbenhavn V;Kalvebod Brygge;;False;1
1561;Kõbenhavn V;Fisketorvet;;False;1
1561;Kõbenhavn V;Kalvebod Pladsvej;;False;1
1562;Kõbenhavn V;Hambrosgade;;False;1
1563;Kõbenhavn V;Otto Mõnsteds Plads;;False;1
1564;Kõbenhavn V;Rysensteensgade;;False;1
1567;Kõbenhavn V;Polititorvet;;False;1
1568;Kõbenhavn V;Mitchellsgade;;False;1
1569;Kõbenhavn V;Edvard Falcks Gade;;False;1
1570;Kõbenhavn V;BanegÜrdspladsen;;False;1
1570;Kõbenhavn V;Kõbenhavns HovedbanegÜrd;;False;1
1571;Kõbenhavn V;Otto Mõnsteds Gade;;False;1
1572;Kõbenhavn V;Anker Heegaards Gade;;False;1
1573;Kõbenhavn V;Puggaardsgade;;False;1
1574;Kõbenhavn V;Niels Brocks Gade;;False;1
1575;Kõbenhavn V;Ved Glyptoteket;;False;1
1576;Kõbenhavn V;Stoltenbergsgade;;False;1
1577;Kõbenhavn V;Arni Magnussons Gade;;False;1
1577;Kõbenhavn V;Carsten Niebuhrs Gade;;False;1
1577;Kõbenhavn V;Bernstorffsgade;;False;1
1592;Kõbenhavn V;Bernstorffsgade 17-19;Kõbenhavns Socialdirektorat;False;1
1599;Kõbenhavn V;RÜdhuspladsen 1 ;Kõbenhavns RÜdhus;False;1
1600;Kõbenhavn V;Gyldenlõvesgade ulige nr.;;False;1
1601;Kõbenhavn V;Vester Sõgade;;False;1
1602;Kõbenhavn V;Nyropsgade;;False;1
1603;Kõbenhavn V;Dahlerupsgade;;False;1
1604;Kõbenhavn V;Kampmannsgade;;False;1
1605;Kõbenhavn V;Herholdtsgade;;False;1
1606;Kõbenhavn V;Vester Farimagsgade;;False;1
1607;Kõbenhavn V;Staunings Plads;;False;1
1608;Kõbenhavn V;Jernbanegade;;False;1
1609;Kõbenhavn V;Axeltorv;;False;1
1610;Kõbenhavn V;Gammel Kongevej 1-55 og 10;;False;1
1611;Kõbenhavn V;Hammerichsgade;;False;1
1612;Kõbenhavn V;Ved Vesterport;;False;1
1613;Kõbenhavn V;Meldahlsgade;;False;1
1614;Kõbenhavn V;Trommesalen;;False;1
1615;Kõbenhavn V;Sankt Jõrgens AllÇ;;False;1
1616;Kõbenhavn V;Stenosgade;;False;1
1617;Kõbenhavn V;Bagerstrëde;;False;1
1618;Kõbenhavn V;Tullinsgade;;False;1
1619;Kõbenhavn V;Vërnedamsvej lige nr.;;False;1
1620;Kõbenhavn V;Vesterbrogade 1-149 og 2-150;;False;1
1620;Kõbenhavn V;Vesterbros Torv;;False;1
1621;Kõbenhavn V;Frederiksberg Alle 1 - 13B;;False;1
1622;Kõbenhavn V;Boyesgade ulige nr;;False;1
1623;Kõbenhavn V;Kingosgade 1-9;;False;1
1624;Kõbenhavn V;Brorsonsgade;;False;1
1630;Kõbenhavn V;Vesterbrogade 3;Tivoli A/S;False;1
1631;Kõbenhavn V;Herman Triers Plads;;False;1
1632;Kõbenhavn V;Julius Thomsens Gade lige nr;;False;1
1633;Kõbenhavn V;Kleinsgade;;False;1
1634;Kõbenhavn V;Rosenõrns AllÇ 2-18;;False;1
1635;Kõbenhavn V;èboulevard 1-13;;False;1
1650;Kõbenhavn V;Istedgade;;False;1
1651;Kõbenhavn V;Reventlowsgade;;False;1
1652;Kõbenhavn V;Colbjõrnsensgade;;False;1
1653;Kõbenhavn V;Helgolandsgade;;False;1
1654;Kõbenhavn V;Abel Cathrines Gade;;False;1
1655;Kõbenhavn V;Viktoriagade;;False;1
1656;Kõbenhavn V;Gasvërksvej;;False;1
1657;Kõbenhavn V;Eskildsgade;;False;1
1658;Kõbenhavn V;Absalonsgade;;False;1
1659;Kõbenhavn V;Svendsgade;;False;1
1660;Kõbenhavn V;Dannebrogsgade;;False;1
1660;Kõbenhavn V;Otto Krabbes Plads;;False;1
1661;Kõbenhavn V;Westend;;False;1
1662;Kõbenhavn V;Saxogade;;False;1
1663;Kõbenhavn V;Oehlenschlëgersgade;;False;1
1664;Kõbenhavn V;Kaalundsgade;;False;1
1665;Kõbenhavn V;Valdemarsgade;;False;1
1666;Kõbenhavn V;Matthëusgade;;False;1
1667;Kõbenhavn V;Frederiksstadsgade;;False;1
1668;Kõbenhavn V;Mysundegade;;False;1
1669;Kõbenhavn V;Flensborggade;;False;1
1670;Kõbenhavn V;Enghave Plads;;False;1
1671;Kõbenhavn V;Haderslevgade;;False;1
1671;Kõbenhavn V;Tove Ditlevsens Plads;;False;1
1672;Kõbenhavn V;Broagergade;;False;1
1673;Kõbenhavn V;Ullerupgade;;False;1
1674;Kõbenhavn V;Enghavevej 1-77 og 2-78;;False;1
1675;Kõbenhavn V;Kongshõjgade;;False;1
1676;Kõbenhavn V;Sankelmarksgade;;False;1
1677;Kõbenhavn V;GrÜstensgade;;False;1
1699;Kõbenhavn V;Staldgade;;False;1
1700;Kõbenhavn V;Halmtorvet;;False;1
1701;Kõbenhavn V;Reverdilsgade;;False;1
1702;Kõbenhavn V;Stampesgade;;False;1
1703;Kõbenhavn V;Lille Colbjõrnsensgade;;False;1
1704;Kõbenhavn V;Tietgensgade;;False;1
1705;Kõbenhavn V;Ingerslevsgade;;False;1
1706;Kõbenhavn V;Lille Istedgade;;False;1
1707;Kõbenhavn V;Maria Kirkeplads;;False;1
1708;Kõbenhavn V;Eriksgade;;False;1
1709;Kõbenhavn V;Skydebanegade;;False;1
1710;Kõbenhavn V;Kvëgtorvsgade;;False;1
1711;Kõbenhavn V;Flësketorvet;;False;1
1711;Kõbenhavn V;Onkel Dannys Plads;;False;1
1712;Kõbenhavn V;Hõkerboderne;;False;1
1714;Kõbenhavn V;Kõdboderne;;False;1
1715;Kõbenhavn V;Slagtehusgade;;False;1
1716;Kõbenhavn V;Slagterboderne;;False;1
1717;Kõbenhavn V;Skelbëkgade;;False;1
1718;Kõbenhavn V;Sommerstedgade;;False;1
1719;Kõbenhavn V;KrusÜgade;;False;1
1720;Kõbenhavn V;Sõnder Boulevard;;False;1
1721;Kõbenhavn V;Dybbõlsgade;;False;1
1722;Kõbenhavn V;Godsbanegade;;False;1
1723;Kõbenhavn V;Letlandsgade;;False;1
1724;Kõbenhavn V;Estlandsgade;;False;1
1725;Kõbenhavn V;Esbern Snares Gade;;False;1
1726;Kõbenhavn V;Arkonagade;;False;1
